N; Shell Sort {N, 1 / 2}; Shell Sort {N, 5 / 11}; Shell Sort Hibbard; Shell Sort Aka Sedgwick; Shell Sort Pratt; Shell Sort Empirical
1000; 0,063792; 0,063907; 0,062117; 0,054568; 0,083177; 0,062241
1100; 0,072293; 0,071580; 0,076731; 0,063859; 0,122164; 0,066970
1200; 0,078998; 0,075059; 0,080649; 0,068182; 0,092344; 0,072672
1300; 0,092930; 0,081626; 0,087894; 0,076209; 0,104998; 0,079844
1400; 0,095629; 0,090123; 0,097642; 0,081761; 0,111653; 0,087436
1500; 0,104974; 0,101232; 0,105581; 0,090442; 0,121625; 0,094070
1600; 0,122957; 0,105205; 0,107804; 0,098937; 0,134666; 0,102471
1700; 0,121753; 0,113437; 0,116170; 0,104368; 0,142996; 0,112201
1800; 0,145689; 0,118007; 0,125947; 0,112188; 0,155200; 0,119581
1900; 0,140070; 0,131746; 0,145920; 0,123969; 0,164034; 0,125088
2000; 0,152324; 0,134414; 0,143454; 0,130766; 0,197824; 0,134259
2100; 0,162249; 0,144149; 0,157846; 0,137550; 0,185368; 0,148434
2200; 0,162727; 0,152394; 0,160756; 0,146268; 0,210618; 0,153646
2300; 0,175166; 0,161889; 0,174293; 0,150746; 0,204109; 0,157311
2400; 0,192353; 0,172032; 0,181618; 0,159927; 0,214377; 0,165259
2500; 0,203275; 0,178181; 0,190819; 0,163258; 0,229647; 0,172259
2600; 0,206062; 0,185188; 0,200307; 0,176784; 0,238197; 0,184458
2700; 0,210032; 0,198941; 0,204312; 0,180363; 0,246340; 0,193118
2800; 0,226862; 0,197973; 0,217770; 0,189161; 0,261936; 0,199523
2900; 0,222922; 0,213890; 0,229257; 0,201127; 0,270830; 0,207917
3000; 0,236074; 0,225488; 0,248868; 0,205193; 0,285180; 0,224016
3100; 0,289822; 0,233334; 0,251429; 0,212263; 0,296439; 0,223664
3200; 0,298145; 0,247408; 0,263389; 0,223060; 0,314022; 0,231880
3300; 0,265933; 0,245924; 0,265524; 0,225588; 0,320031; 0,242687
3400; 0,268215; 0,250807; 0,281774; 0,235750; 0,327842; 0,250166
3500; 0,278259; 0,260364; 0,291956; 0,252806; 0,344557; 0,255298
3600; 0,323945; 0,270182; 0,304496; 0,261281; 0,351748; 0,267751
3700; 0,314174; 0,275998; 0,297109; 0,267144; 0,365515; 0,278175
3800; 0,315229; 0,283144; 0,318065; 0,268991; 0,369436; 0,285373
3900; 0,322389; 0,298341; 0,323526; 0,277718; 0,385287; 0,294489
4000; 0,349678; 0,310432; 0,337497; 0,285731; 0,403257; 0,299574
4100; 0,490585; 0,312922; 0,345707; 0,293962; 0,409660; 0,304967
4200; 0,365682; 0,327037; 0,353697; 0,302530; 0,425113; 0,313125
4300; 0,360925; 0,336982; 0,359582; 0,315212; 0,436567; 0,327170
4400; 0,380501; 0,342380; 0,371844; 0,326955; 0,444773; 0,331789
4500; 0,378011; 0,352813; 0,390412; 0,328984; 0,462937; 0,343765
