N; Shell Sort {N, 1 / 2}; Shell Sort {N, 5 / 11}; Shell Sort Hibbard; Shell Sort Aka Sedgwick; Shell Sort Pratt; Shell Sort Empirical
4600; 0,409694; 0,372758; 0,402634; 0,337919; 0,482404; 0,360059
4700; 0,406172; 0,376414; 0,412178; 0,343103; 0,486816; 0,360711
4800; 0,436852; 0,386124; 0,430308; 0,361157; 0,494327; 0,366715
4900; 0,427540; 0,385207; 0,438465; 0,361266; 0,509616; 0,376465
5000; 0,446816; 0,403689; 0,435486; 0,370788; 0,533123; 0,387243
5100; 0,446077; 0,407894; 0,452619; 0,381607; 0,531314; 0,392838
5200; 0,495631; 0,408318; 0,450897; 0,385537; 0,549859; 0,400005
5300; 0,452832; 0,420897; 0,460568; 0,408114; 0,559112; 0,416760
5400; 0,477534; 0,439109; 0,488721; 0,412230; 0,571073; 0,423734
5500; 0,483531; 0,445625; 0,488904; 0,423931; 0,585921; 0,435659
5600; 0,517809; 0,451006; 0,505548; 0,428748; 0,593813; 0,440952
5700; 0,515633; 0,460680; 0,506759; 0,432315; 0,607346; 0,456792
5800; 0,512403; 0,476664; 0,524016; 0,432171; 0,621225; 0,456585
5900; 0,535038; 0,482337; 0,530016; 0,447582; 0,632967; 0,470136
6000; 0,549563; 0,490428; 0,535942; 0,473799; 0,644005; 0,474780
6100; 0,574318; 0,488128; 0,558317; 0,464337; 0,658607; 0,486818
6200; 0,625836; 0,503444; 0,567212; 0,474977; 0,672297; 0,493662
6300; 0,589054; 0,516618; 0,577005; 0,492470; 0,683299; 0,502133
6400; 0,686690; 0,529666; 0,588987; 0,500698; 0,706747; 0,511928
6500; 0,605694; 0,546964; 0,593459; 0,506083; 0,709562; 0,525356
6600; 0,611748; 0,575323; 0,609966; 0,517952; 0,717432; 0,538292
6700; 0,617861; 0,553548; 0,629568; 0,507278; 0,728479; 0,540746
6800; 0,630174; 0,562380; 0,635677; 0,530462; 0,761125; 0,545682
6900; 0,633965; 0,570377; 0,634087; 0,542845; 0,766946; 0,560208
7000; 0,637653; 0,579359; 0,643875; 0,554617; 0,779955; 0,569822
7100; 0,654032; 0,592005; 0,660616; 0,563066; 0,787134; 0,568300
7200; 0,698885; 0,603743; 0,686300; 0,567768; 0,793232; 0,581209
7300; 0,706197; 0,616337; 0,685688; 0,579291; 0,804371; 0,603837
7400; 0,702179; 0,615273; 0,696512; 0,582320; 0,824419; 0,616753
7500; 0,686339; 0,624393; 0,735484; 0,598407; 0,839066; 0,610926
7600; 0,729187; 0,640036; 0,709379; 0,595878; 0,910762; 0,654172
7700; 0,790867; 0,669368; 0,723412; 0,614203; 0,856582; 0,628196
7800; 0,729510; 0,661074; 0,738375; 0,618605; 0,874547; 0,645476
7900; 0,760978; 0,662251; 0,743678; 0,635681; 0,892509; 0,656770
8000; 0,784620; 0,674646; 0,765820; 0,637743; 0,898452; 0,659715
8100; 0,757475; 0,690668; 0,790777; 0,647759; 0,909318; 0,679943
8200; 1,144195; 0,690381; 0,823847; 0,655596; 0,925395; 0,682096
8300; 0,825373; 0,721939; 0,827219; 0,667215; 0,946643; 0,700584
8400; 0,848690; 0,705616; 0,812115; 0,674166; 0,960786; 0,709542
8500; 0,804960; 0,721751; 0,846537; 0,676265; 0,979536; 0,709123
8600; 0,852797; 0,727846; 0,837180; 0,691806; 0,992150; 0,711864
8700; 0,844244; 0,734505; 0,865301; 0,699655; 0,996695; 0,721559
8800; 0,884900; 0,752451; 0,876761; 0,710143; 1,018237; 0,734877
8900; 0,860642; 0,752941; 0,862781; 0,713554; 1,030583; 0,741135
9000; 0,872266; 0,765603; 0,886387; 0,725639; 1,039773; 0,757228
9100; 0,906789; 0,782194; 0,901998; 0,744171; 1,055687; 0,771344
9200; 0,951137; 0,788133; 0,907912; 0,754279; 1,064634; 0,786615
9300; 0,916690; 0,812926; 0,906642; 0,765483; 1,087453; 0,789841
9400; 0,908675; 0,805569; 0,941248; 0,763368; 1,097117; 0,802945
9500; 0,920742; 0,823618; 0,953337; 0,783080; 1,109671; 0,809950
9600; 1,001635; 0,826988; 0,965584; 0,783708; 1,208520; 0,822096
9700; 0,946784; 0,851304; 0,959719; 0,795290; 1,143810; 0,819053
9800; 0,971032; 0,850269; 1,032765; 0,807027; 1,140880; 0,831074
9900; 0,964695; 0,883164; 0,997185; 0,818306; 1,159956; 0,845273
10000; 1,016941; 0,930528; 1,020342; 0,822609; 1,176690; 0,852278
