N; Shell Sort {N, 1 / 2}; Shell Sort {N, 5 / 11}; Shell Sort Hibbard; Shell Sort Aka Sedgwick; Shell Sort Pratt; Shell Sort Empirical
82; 0,002163; 0,002275; 0,002301; 0,001969; 0,002920; 0,002117
83; 0,002578; 0,002413; 0,002364; 0,002320; 0,003535; 0,002316
84; 0,002617; 0,002462; 0,002397; 0,002081; 0,003244; 0,002459
85; 0,002779; 0,002778; 0,002467; 0,002476; 0,003524; 0,002135
86; 0,002793; 0,002659; 0,002308; 0,002206; 0,003457; 0,002502
87; 0,002435; 0,003033; 0,002575; 0,002205; 0,003202; 0,002400
88; 0,002724; 0,002963; 0,002696; 0,002275; 0,003582; 0,002567
89; 0,003007; 0,002838; 0,002612; 0,002374; 0,003327; 0,002429
90; 0,002956; 0,002723; 0,002560; 0,002498; 0,003360; 0,002530
91; 0,002858; 0,003026; 0,002690; 0,002656; 0,003566; 0,002651
92; 0,002865; 0,002576; 0,002681; 0,002424; 0,003807; 0,002785
93; 0,002786; 0,003008; 0,002623; 0,002654; 0,003710; 0,002591
94; 0,003312; 0,003032; 0,003213; 0,002741; 0,003643; 0,002743
95; 0,002996; 0,002750; 0,002607; 0,002668; 0,003676; 0,002494
96; 0,004017; 0,003133; 0,002993; 0,002597; 0,004274; 0,002979
97; 0,003772; 0,002824; 0,002962; 0,002640; 0,003781; 0,002837
98; 0,003366; 0,002962; 0,003015; 0,002646; 0,003891; 0,003009
99; 0,003552; 0,003117; 0,003087; 0,002969; 0,004121; 0,002896
100; 0,003819; 0,003127; 0,003216; 0,002834; 0,003972; 0,002901
