N; Shell Sort {N, 1 / 2}; Shell Sort {N, 5 / 11}; Shell Sort Hibbard; Shell Sort Aka Sedgwick; Shell Sort Pratt; Shell Sort Empirical
100; 0,003601; 0,003200; 0,003455; 0,002854; 0,004364; 0,003356
110; 0,003498; 0,004098; 0,003946; 0,004357; 0,004748; 0,003743
120; 0,004643; 0,004299; 0,004102; 0,003632; 0,005769; 0,004133
130; 0,006412; 0,004237; 0,004973; 0,004079; 0,007219; 0,004540
140; 0,006231; 0,005560; 0,005894; 0,004978; 0,006404; 0,004774
150; 0,006385; 0,006170; 0,006275; 0,004897; 0,007608; 0,005701
160; 0,007591; 0,006334; 0,006131; 0,006925; 0,008429; 0,006553
170; 0,007196; 0,007181; 0,006608; 0,005973; 0,010290; 0,006084
180; 0,007781; 0,007927; 0,008654; 0,006753; 0,009878; 0,008028
190; 0,008667; 0,008783; 0,008410; 0,007320; 0,010243; 0,008724
200; 0,009587; 0,010557; 0,009223; 0,009401; 0,011707; 0,008310
210; 0,009961; 0,009129; 0,009424; 0,008572; 0,013287; 0,009250
220; 0,009587; 0,009803; 0,010021; 0,009926; 0,013762; 0,009786
230; 0,010474; 0,011446; 0,010686; 0,009185; 0,013006; 0,011240
240; 0,010794; 0,010649; 0,011230; 0,009559; 0,014521; 0,010986
250; 0,012880; 0,011378; 0,011306; 0,010656; 0,020699; 0,012106
260; 0,019553; 0,012556; 0,013364; 0,011694; 0,017073; 0,015331
270; 0,012445; 0,013096; 0,013350; 0,012736; 0,014848; 0,011811
280; 0,013080; 0,012240; 0,012900; 0,012401; 0,015349; 0,011994
290; 0,013858; 0,013020; 0,013729; 0,011936; 0,015800; 0,013433
300; 0,014539; 0,013902; 0,014975; 0,013319; 0,018266; 0,013776
310; 0,015132; 0,015281; 0,015573; 0,012931; 0,019285; 0,013808
320; 0,017298; 0,016087; 0,017301; 0,015991; 0,022957; 0,014536
330; 0,017449; 0,016541; 0,016508; 0,015029; 0,020667; 0,015259
340; 0,016958; 0,016702; 0,016339; 0,015493; 0,025733; 0,016183
350; 0,019375; 0,027012; 0,024371; 0,017594; 0,028507; 0,019195
360; 0,019446; 0,019002; 0,021064; 0,016672; 0,022813; 0,017732
370; 0,018644; 0,018197; 0,018763; 0,016518; 0,023475; 0,017899
380; 0,020870; 0,018756; 0,019575; 0,017727; 0,024512; 0,018458
390; 0,022523; 0,019660; 0,021228; 0,017848; 0,024524; 0,019604
400; 0,022011; 0,019978; 0,020571; 0,018391; 0,025503; 0,020307
410; 0,022463; 0,021415; 0,021820; 0,018342; 0,026900; 0,020245
420; 0,022015; 0,021815; 0,021472; 0,020153; 0,025838; 0,021549
430; 0,022259; 0,022627; 0,024291; 0,020455; 0,027505; 0,022419
440; 0,022672; 0,022406; 0,023919; 0,021380; 0,028943; 0,022396
450; 0,024411; 0,023144; 0,024073; 0,021422; 0,031621; 0,023949
460; 0,023971; 0,024252; 0,024902; 0,021254; 0,030371; 0,024421
470; 0,025245; 0,024168; 0,027023; 0,022168; 0,030475; 0,023915
480; 0,027307; 0,025442; 0,026383; 0,023706; 0,030787; 0,024349
490; 0,027018; 0,026929; 0,027183; 0,024100; 0,033370; 0,025930
500; 0,026590; 0,025977; 0,027172; 0,024812; 0,034039; 0,026439
510; 0,028267; 0,028247; 0,027993; 0,024586; 0,035103; 0,027185
520; 0,032225; 0,027080; 0,027363; 0,026729; 0,033281; 0,026002
530; 0,030929; 0,028437; 0,027460; 0,025948; 0,034182; 0,027708
540; 0,030367; 0,029334; 0,029719; 0,026762; 0,034551; 0,027480
550; 0,029985; 0,028405; 0,029559; 0,029450; 0,036312; 0,028248
560; 0,031436; 0,029341; 0,031664; 0,027360; 0,036217; 0,028410
570; 0,031629; 0,029825; 0,031778; 0,029285; 0,037169; 0,030092
580; 0,033499; 0,030231; 0,031881; 0,029395; 0,038317; 0,030944
590; 0,034359; 0,029985; 0,032982; 0,030045; 0,038629; 0,030579
600; 0,033501; 0,031766; 0,033408; 0,030412; 0,040182; 0,031862
