N; Shell Sort {N, 1 / 2}; Shell Sort {N, 5 / 11}; Shell Sort Hibbard; Shell Sort Aka Sedgwick; Shell Sort Pratt; Shell Sort Empirical
610; 0,034726; 0,031856; 0,033579; 0,032023; 0,041182; 0,031625
620; 0,034602; 0,033354; 0,033426; 0,035674; 0,043900; 0,032574
630; 0,035284; 0,035510; 0,037244; 0,031931; 0,042568; 0,033237
640; 0,042960; 0,035127; 0,036765; 0,034162; 0,043360; 0,034400
650; 0,038499; 0,035713; 0,036543; 0,033420; 0,043934; 0,035970
660; 0,038346; 0,036327; 0,036938; 0,035061; 0,045481; 0,034826
670; 0,039772; 0,036543; 0,037944; 0,034918; 0,046727; 0,036812
680; 0,040572; 0,039511; 0,039054; 0,036254; 0,046247; 0,038240
690; 0,039739; 0,037601; 0,039621; 0,036122; 0,046813; 0,037647
700; 0,039801; 0,037901; 0,040953; 0,038993; 0,048080; 0,037602
710; 0,043520; 0,040172; 0,040583; 0,037974; 0,049297; 0,038919
720; 0,041787; 0,040436; 0,041951; 0,038575; 0,051023; 0,039707
730; 0,042691; 0,040536; 0,044154; 0,041086; 0,050405; 0,039714
740; 0,044599; 0,041276; 0,044188; 0,038557; 0,051041; 0,040928
750; 0,046135; 0,042481; 0,045299; 0,039995; 0,052678; 0,040979
760; 0,047468; 0,043275; 0,045047; 0,040087; 0,053534; 0,042585
770; 0,060423; 0,042997; 0,046040; 0,041570; 0,053424; 0,042075
780; 0,050187; 0,043160; 0,048249; 0,041306; 0,055491; 0,043795
790; 0,048477; 0,045223; 0,046221; 0,043217; 0,055865; 0,044448
800; 0,051452; 0,044866; 0,046741; 0,042859; 0,056200; 0,045002
810; 0,047252; 0,047442; 0,047662; 0,044129; 0,056708; 0,046194
820; 0,051337; 0,046352; 0,047784; 0,045302; 0,059126; 0,046259
830; 0,050475; 0,047976; 0,050422; 0,045851; 0,057905; 0,046657
840; 0,049571; 0,049307; 0,052280; 0,044888; 0,059265; 0,047966
850; 0,050442; 0,049195; 0,049752; 0,046011; 0,060548; 0,047208
860; 0,053887; 0,049655; 0,050726; 0,046319; 0,061286; 0,048356
870; 0,051998; 0,048832; 0,053589; 0,048850; 0,063978; 0,049146
880; 0,055562; 0,050710; 0,054053; 0,047938; 0,062775; 0,049652
890; 0,052529; 0,053654; 0,055233; 0,050625; 0,064492; 0,051639
900; 0,059434; 0,052336; 0,058362; 0,049352; 0,065622; 0,052246
910; 0,058846; 0,051427; 0,057016; 0,050519; 0,065312; 0,051462
920; 0,058094; 0,055302; 0,058423; 0,051629; 0,066716; 0,052813
930; 0,058875; 0,054889; 0,057448; 0,053195; 0,068150; 0,053190
940; 0,059393; 0,062674; 0,057138; 0,051343; 0,068957; 0,053641
950; 0,059103; 0,055917; 0,059207; 0,052148; 0,069066; 0,055229
960; 0,065463; 0,056666; 0,059662; 0,053032; 0,070664; 0,055066
970; 0,059663; 0,057510; 0,059556; 0,054824; 0,071784; 0,055873
980; 0,061699; 0,058663; 0,059847; 0,056651; 0,072011; 0,056689
990; 0,062537; 0,059006; 0,061705; 0,054586; 0,072618; 0,056507
1000; 0,064135; 0,058375; 0,063761; 0,056536; 0,075296; 0,059266
