N; Shell Sort {N, 1 / 2}; Shell Sort {N, 5 / 11}; Shell Sort Hibbard; Shell Sort Aka Sedgwick; Shell Sort Pratt; Shell Sort Empirical
10000; 1,014065; 0,915807; 1,006703; 0,819601; 1,162559; 0,859113
11000; 1,091879; 0,978564; 1,087634; 0,916941; 1,307862; 0,941411
12000; 1,226730; 1,075610; 1,226421; 1,004710; 1,434073; 1,052330
13000; 1,345907; 1,164960; 1,364306; 1,102903; 1,585583; 1,149265
14000; 1,438142; 1,257829; 1,446225; 1,206347; 1,733940; 1,251470
15000; 1,581166; 1,378852; 1,588604; 1,304692; 1,858025; 1,363077
16000; 1,837684; 1,508823; 1,748333; 1,408931; 2,060216; 1,469914
17000; 1,823261; 1,579733; 1,894142; 1,480108; 2,168216; 1,601503
18000; 1,908696; 1,658869; 2,033008; 1,573439; 2,317397; 1,697298
19000; 2,118232; 1,765195; 2,173368; 1,680483; 2,475377; 1,791334
20000; 2,220462; 1,951307; 2,319996; 1,799082; 2,610806; 1,919227
21000; 2,485333; 2,016579; 2,479717; 1,877706; 2,774645; 2,041948
22000; 2,459442; 2,270423; 2,538230; 1,999857; 2,901570; 2,113447
23000; 2,567500; 2,230073; 2,668619; 2,108403; 3,048493; 2,240428
24000; 2,826522; 2,317440; 2,822283; 2,199080; 3,198207; 2,383863
25000; 2,995838; 2,460637; 2,922385; 2,285971; 3,372291; 2,468884
26000; 3,022391; 2,510821; 3,157742; 2,410214; 3,523589; 2,640148
27000; 3,088677; 2,663836; 3,172854; 2,510064; 3,705229; 2,744146
28000; 3,356825; 2,804196; 3,513805; 2,590626; 3,854529; 2,879975
29000; 3,467610; 2,833789; 3,662210; 2,720536; 4,036274; 2,983423
30000; 3,454750; 2,920133; 3,643246; 2,805231; 4,130646; 3,119797
31000; 3,618774; 3,085009; 3,917731; 2,927289; 4,304954; 3,259967
32000; 4,067744; 3,156375; 4,022053; 3,007045; 4,498114; 3,376507
33000; 4,341362; 3,306320; 4,179233; 3,119361; 4,637662; 3,528731
34000; 4,015606; 3,382712; 4,393839; 3,212902; 4,816666; 3,650177
35000; 4,193637; 3,485175; 4,387619; 3,313840; 4,991917; 3,752169
36000; 4,361374; 3,585601; 4,615511; 3,435889; 5,169079; 3,927955
37000; 4,782749; 3,769408; 4,819824; 3,568643; 5,336211; 4,053042
38000; 4,504407; 3,857448; 4,885438; 3,641832; 5,442744; 4,239418
39000; 4,860555; 3,944128; 5,108718; 3,754853; 5,609484; 4,343567
40000; 5,066150; 4,045012; 5,357313; 3,878892; 5,841645; 4,488537
41000; 6,497116; 4,093703; 5,579123; 3,976316; 5,979897; 4,680862
42000; 5,473319; 4,203284; 5,642994; 4,094019; 6,235489; 4,742371
43000; 5,259021; 4,401896; 5,601624; 4,192312; 6,286755; 4,903696
44000; 5,611432; 4,646431; 5,857769; 4,303721; 6,450323; 5,083842
45000; 5,687756; 4,637049; 6,145488; 4,423929; 6,638895; 5,178061
46000; 5,654576; 4,730998; 6,186004; 4,502810; 6,783412; 5,333879
