N; Shell Sort {N, 1 / 2}; Shell Sort {N, 5 / 11}; Shell Sort Hibbard; Shell Sort Aka Sedgwick; Shell Sort Pratt; Shell Sort Empirical
47000; 5,935632; 4,811557; 6,322987; 4,617996; 6,988860; 5,489088
48000; 6,192744; 5,082089; 6,533050; 4,744026; 7,098162; 5,628773
49000; 6,216032; 5,192574; 6,605350; 4,848824; 7,286556; 5,809645
50000; 6,746540; 5,167613; 6,764992; 4,974121; 7,450692; 6,002963
51000; 6,583114; 5,247593; 6,878457; 5,069554; 7,764067; 6,171114
52000; 6,731645; 5,279025; 7,096564; 5,179015; 7,784901; 6,301266
53000; 6,827573; 5,417927; 7,315845; 5,262097; 8,038128; 6,500517
54000; 6,768611; 5,541565; 7,414673; 5,337645; 8,169900; 6,636322
55000; 6,987190; 5,809893; 7,619978; 5,494316; 8,360764; 6,738023
56000; 7,336074; 5,880361; 7,833982; 5,564468; 8,528302; 6,953310
57000; 7,306597; 6,071692; 8,027043; 5,734317; 8,655073; 7,096921
58000; 7,485664; 6,027401; 8,101741; 5,808114; 8,866612; 7,366879
59000; 7,618122; 6,172753; 8,289537; 5,917749; 9,027590; 7,499463
60000; 7,602197; 6,306640; 8,433073; 6,041843; 9,160791; 7,674900
61000; 7,783342; 6,396072; 8,627396; 6,123050; 9,325897; 7,858703
62000; 8,031763; 6,630233; 8,801438; 6,270276; 9,466951; 7,963573
63000; 8,218932; 6,551750; 9,035558; 6,411529; 9,688567; 8,110698
64000; 9,467729; 6,659559; 9,009627; 6,442649; 9,865924; 8,376526
65000; 8,482609; 6,782160; 9,473453; 6,535661; 10,107937; 8,505286
66000; 9,834395; 6,878026; 9,488610; 6,642730; 10,286450; 8,794911
67000; 9,062128; 7,013588; 9,593848; 6,859812; 10,453270; 8,831553
68000; 9,087698; 7,216431; 9,849713; 6,881472; 10,613896; 9,105428
69000; 9,362955; 7,283050; 10,408453; 7,021140; 10,800167; 9,310400
70000; 9,585330; 7,413791; 10,298475; 7,167781; 10,993836; 9,557991
71000; 9,102402; 7,558390; 10,530068; 7,253043; 11,203779; 9,855495
72000; 9,489908; 7,694384; 11,038729; 7,349114; 11,402317; 9,915002
73000; 9,861455; 7,744376; 10,880376; 7,435870; 11,569005; 10,112992
74000; 10,331057; 7,794130; 10,862302; 7,556375; 11,661870; 10,324376
75000; 9,774312; 7,902342; 11,262659; 7,692904; 11,882038; 10,557488
76000; 10,273251; 8,077468; 11,286639; 7,797101; 12,049162; 10,707513
77000; 10,266499; 8,238597; 11,815588; 7,923243; 12,236346; 10,824390
78000; 10,777250; 8,238925; 11,726391; 8,054076; 12,488138; 11,067176
79000; 10,346871; 8,398323; 11,870527; 8,198556; 12,629313; 11,189536
80000; 11,280437; 8,533958; 12,024699; 8,283691; 12,764932; 11,440834
81000; 10,816350; 8,668041; 12,103491; 8,351863; 12,949074; 11,743469
82000; 14,906657; 8,844890; 12,554011; 8,481235; 13,815553; 12,057694
83000; 11,475293; 8,910404; 12,510525; 8,595443; 13,413702; 12,102596
84000; 12,304466; 8,920916; 12,476901; 8,716014; 13,506488; 12,352783
85000; 12,892629; 8,990602; 12,967540; 8,774592; 13,647402; 12,630220
86000; 11,596086; 9,145561; 13,448707; 8,938072; 13,840947; 12,871132
87000; 11,864665; 9,213714; 13,274536; 9,056957; 14,273713; 13,327739
88000; 12,177364; 9,445240; 13,544936; 9,156741; 14,208151; 13,243972
89000; 12,003510; 9,443862; 13,580016; 9,313118; 14,466366; 13,586421
90000; 12,261504; 9,592903; 13,897741; 9,372255; 14,631124; 13,837319
91000; 12,462643; 9,680731; 13,889130; 9,507815; 14,854194; 14,052500
92000; 13,271603; 9,830405; 13,967335; 9,611873; 14,910354; 14,226004
93000; 12,653894; 9,919524; 13,716561; 9,727692; 15,174883; 14,436430
94000; 12,822481; 10,088273; 14,873353; 9,863962; 15,305986; 14,759980
95000; 12,756821; 10,288730; 14,716184; 10,020993; 15,582654; 15,056757
96000; 14,405929; 10,303733; 14,835678; 10,047883; 15,706133; 15,339750
97000; 13,318179; 10,408744; 14,825472; 10,275640; 15,906844; 15,462527
98000; 14,094116; 10,637661; 15,691433; 10,280611; 16,024645; 15,846230
99000; 14,714197; 10,888193; 15,390407; 10,405198; 16,257562; 16,023084
100000; 14,716999; 10,799857; 16,109377; 10,587868; 16,376724; 16,426733
